Signal,Header/Pin,Port
S00,P8-18,GPIO2_01
S01,P8-17,GPIO0_27
S02,P8-15,GPIO1_15
S03,P8-16,GPIO1_14
S04,P8-14,GPIO0_26
S05,P8-13,GPIO0_23
S06,P8-11,GPIO1_13
S07,P8-12,GPIO1_12
S08,P8-10,GPIO2_04
S09,P8-09,GPIO2_05
S10,P8-07,GPIO2_02
S11,P8-08,GPIO2_03
S12,P9-41,GPIO0_20
S13,P9-30,GPIO3_16
S14,P9-27,GPIO3_19
S15,P9-26,GPIO0_14
S16,P9-25,GPIO3_21
S17,P9-24,GPIO0_15
S18,P9-23,GPIO1_17
S19,P9-22,GPIO0_02
S20,P9-21,GPIO0_03
S21,P8-27,GPIO2_22
S22,P8-28,GPIO2_24
S23,P9-18,GPIO0_04
S24,P9-17,GPIO0_05
S25,P9-16,GPIO1_19
S26,P9-15,GPIO1_16
S27,P9-14,GPIO1_18
S28,P9-13,GPIO0_31
S29,P9-12,GPIO1_28
S30,P9-11,GPIO0_30
S31,P8-26,GPIO1_29
